trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1089595,20:19:00,20:22:00,153365,6,München Hbf,,
1089595,20:53:00,20:56:00,146716,7,München Hbf,,
1089595,21:33:00,21:43:00,106423,8,München Hbf,,
1089595,22:26:00,22:28:00,548761,9,München Hbf,,
1089595,23:11:00,23:13:00,160021,10,München Hbf,,
1089595,23:47:00,23:47:00,113452,11,München Hbf,,
1097755,18:19:00,18:19:00,113452,0,Köln Hbf,,
1097755,18:46:00,18:48:00,160021,1,Köln Hbf,,
1097755,19:31:00,19:33:00,548761,2,Köln Hbf,,
1097755,20:19:00,20:26:00,106423,3,Köln Hbf,,
1097755,21:04:00,21:07:00,146716,4,Köln Hbf,,
1097755,21:38:00,21:41:00,153365,5,Köln Hbf,,
1097755,22:30:00,22:30:00,449938,6,Köln Hbf,,
1110724,14:20:00,14:20:00,113452,0,Arnhem Centraal,,
1110724,14:46:00,14:48:00,160021,1,Arnhem Centraal,,
1110724,15:31:00,15:33:00,548761,2,Arnhem Centraal,,
1110724,16:19:00,16:26:00,106423,3,Arnhem Centraal,,
1110724,17:04:00,17:07:00,146716,4,Arnhem Centraal,,
1110724,17:38:00,17:48:00,153365,5,Arnhem Centraal,,
1110724,18:27:00,18:28:00,578605,6,Arnhem Centraal,,
1110724,18:43:00,18:49:00,449938,7,Arnhem Centraal,,
1110724,19:10:00,19:11:00,481211,8,Arnhem Centraal,,
1110724,19:24:00,19:25:00,499439,9,Arnhem Centraal,,
1110724,19:32:00,19:33:00,163028,10,Arnhem Centraal,,
1110724,20:15:00,20:15:00,208511,11,Arnhem Centraal,1,1
1110724,20:26:00,20:26:00,625267,12,Arnhem Centraal,,
1130386,04:13:00,04:13:00,113452,0,Dortmund Hbf,,
1130386,04:46:00,04:48:00,160021,1,Dortmund Hbf,,
1130386,05:31:00,05:33:00,548761,2,Dortmund Hbf,,
1130386,06:19:00,06:26:00,106423,3,Dortmund Hbf,,
1130386,07:04:00,07:07:00,146716,4,Dortmund Hbf,,
1130386,07:38:00,07:41:00,153365,5,Dortmund Hbf,,
1130386,08:29:00,08:32:00,6204,6,Dortmund Hbf,,
1130386,08:53:00,08:56:00,481211,7,Dortmund Hbf,,
1130386,09:09:00,09:10:00,499439,8,Dortmund Hbf,,
1130386,09:22:00,09:23:00,204717,9,Dortmund Hbf,,
1130386,09:47:00,09:47:00,133638,10,Dortmund Hbf,,
1143089,06:10:00,06:10:00,133638,0,München Hbf,,
1143089,06:35:00,06:36:00,204717,1,München Hbf,,
1143089,06:48:00,06:49:00,499439,2,München Hbf,,
1143089,07:04:00,07:06:00,481211,3,München Hbf,,
1143089,07:27:00,07:30:00,6204,4,München Hbf,,
1143089,08:19:00,08:22:00,153365,5,München Hbf,,
1143089,08:53:00,08:56:00,146716,6,München Hbf,,
1143089,09:22:00,09:24:00,596180,7,München Hbf,,
1143089,09:48:00,09:52:00,243570,8,München Hbf,,
1143089,10:26:00,10:28:00,548761,9,München Hbf,,
1143089,11:09:00,11:11:00,160021,10,München Hbf,,
1143089,11:40:00,11:40:00,113452,11,München Hbf,,
1143852,12:20:00,12:20:00,113452,0,Dortmund Hbf,,
1143852,12:46:00,12:48:00,160021,1,Dortmund Hbf,,
1143852,13:31:00,13:33:00,548761,2,Dortmund Hbf,,
1143852,14:19:00,14:26:00,106423,3,Dortmund Hbf,,
1143852,15:04:00,15:07:00,146716,4,Dortmund Hbf,,
1143852,15:38:00,15:41:00,153365,5,Dortmund Hbf,,
1143852,16:29:00,16:32:00,6204,6,Dortmund Hbf,,
1143852,16:53:00,16:55:00,481211,7,Dortmund Hbf,,
1143852,17:09:00,17:10:00,499439,8,Dortmund Hbf,,
1143852,17:22:00,17:23:00,204717,9,Dortmund Hbf,,
1143852,17:47:00,17:47:00,133638,10,Dortmund Hbf,,
1153656,18:19:00,18:19:00,113452,0,Köln Hbf,,
1153656,18:46:00,18:48:00,160021,1,Köln Hbf,,
1153656,19:31:00,19:33:00,548761,2,Köln Hbf,,
1153656,20:07:00,20:09:00,243570,3,Köln Hbf,,
1153656,20:35:00,20:37:00,596180,4,Köln Hbf,,
1153656,21:04:00,21:07:00,146716,5,Köln Hbf,,
1153656,21:38:00,21:41:00,153365,6,Köln Hbf,,
1153656,23:26:00,23:26:00,449938,7,Köln Hbf,,
11679,14:09:00,14:09:00,133638,0,München Hbf,,
11679,14:23:00,14:24:00,477557,1,München Hbf,,
11679,14:35:00,14:36:00,204717,2,München Hbf,,
11679,14:48:00,14:50:00,499439,3,München Hbf,,
11679,15:02:00,15:07:00,481211,4,München Hbf,,
11679,15:27:00,15:30:00,6204,5,München Hbf,,
11679,16:19:00,16:22:00,153365,6,München Hbf,,
11679,16:53:00,16:56:00,146716,7,München Hbf,,
11679,17:33:00,17:43:00,106423,8,München Hbf,,
11679,18:26:00,18:28:00,548761,9,München Hbf,,
11679,19:11:00,19:13:00,160021,10,München Hbf,,
11679,19:41:00,19:41:00,113452,11,München Hbf,,
1185864,04:20:00,04:20:00,113452,0,Dortmund Hbf,,
1185864,04:46:00,04:48:00,160021,1,Dortmund Hbf,,
1185864,05:31:00,05:33:00,548761,2,Dortmund Hbf,,
1185864,06:19:00,06:26:00,106423,3,Dortmund Hbf,,
1185864,07:04:00,07:07:00,146716,4,Dortmund Hbf,,
1185864,07:38:00,07:41:00,153365,5,Dortmund Hbf,,
1185864,08:29:00,08:32:00,6204,6,Dortmund Hbf,,
1185864,08:53:00,08:56:00,481211,7,Dortmund Hbf,,
1185864,09:09:00,09:10:00,499439,8,Dortmund Hbf,,
1185864,09:22:00,09:23:00,204717,9,Dortmund Hbf,,
1185864,09:47:00,09:47:00,133638,10,Dortmund Hbf,,
1214479,18:19:00,18:19:00,113452,0,Köln Hbf,,
1214479,18:46:00,18:48:00,160021,1,Köln Hbf,,
1214479,19:31:00,19:33:00,548761,2,Köln Hbf,,
1214479,20:19:00,20:26:00,106423,3,Köln Hbf,,
1214479,21:04:00,21:07:00,146716,4,Köln Hbf,,
1214479,21:38:00,21:41:00,153365,5,Köln Hbf,,
1214479,23:07:00,23:09:00,303665,6,Köln Hbf,,
1214479,24:00:00,24:00:00,449938,7,Köln Hbf,,
1219876,03:34:00,03:34:00,113452,0,Dortmund Hbf,,
1219876,04:34:00,04:48:00,160021,1,Dortmund Hbf,,
1219876,05:31:00,05:33:00,548761,2,Dortmund Hbf,,
1219876,06:19:00,06:26:00,106423,3,Dortmund Hbf,,
1219876,07:04:00,07:07:00,146716,4,Dortmund Hbf,,
1219876,07:38:00,07:41:00,153365,5,Dortmund Hbf,,
1219876,08:29:00,08:32:00,6204,6,Dortmund Hbf,,
1219876,08:53:00,08:56:00,481211,7,Dortmund Hbf,,
1219876,09:09:00,09:10:00,499439,8,Dortmund Hbf,,
1219876,09:22:00,09:23:00,204717,9,Dortmund Hbf,,
1219876,09:33:00,09:34:00,477557,10,Dortmund Hbf,,
1219876,09:47:00,09:47:00,133638,11,Dortmund Hbf,,
1257624,16:20:00,16:20:00,113452,0,Dortmund Hbf,,
1257624,16:46:00,16:48:00,160021,1,Dortmund Hbf,,
1257624,17:31:00,17:33:00,548761,2,Dortmund Hbf,,
1257624,18:19:00,18:26:00,106423,3,Dortmund Hbf,,
1257624,19:04:00,19:07:00,146716,4,Dortmund Hbf,,
1257624,19:38:00,19:41:00,153365,5,Dortmund Hbf,,
1257624,20:29:00,20:32:00,6204,6,Dortmund Hbf,,
1257624,20:53:00,20:55:00,481211,7,Dortmund Hbf,,
1257624,21:09:00,21:10:00,499439,8,Dortmund Hbf,,
1257624,21:22:00,21:23:00,204717,9,Dortmund Hbf,,
1257624,21:33:00,21:34:00,477557,10,Dortmund Hbf,,
1257624,21:48:00,21:48:00,133638,11,Dortmund Hbf,,
1282511,12:11:00,12:11:00,133638,0,München Hbf,,
1282511,12:23:00,12:24:00,477557,1,München Hbf,,
1282511,12:35:00,12:36:00,204717,2,München Hbf,,
1282511,12:48:00,12:49:00,499439,3,München Hbf,,
1282511,13:03:00,13:06:00,481211,4,München Hbf,,
1282511,13:27:00,13:30:00,6204,5,München Hbf,,
1282511,14:19:00,14:22:00,153365,6,München Hbf,,
1282511,14:53:00,14:56:00,146716,7,München Hbf,,
1282511,15:33:00,15:43:00,106423,8,München Hbf,,
1282511,16:26:00,16:28:00,548761,9,München Hbf,,
1282511,17:11:00,17:13:00,160021,10,München Hbf,,
1282511,17:40:00,17:40:00,113452,11,München Hbf,,
1317380,18:19:00,18:19:00,113452,0,Köln Hbf,,
1317380,18:46:00,18:48:00,160021,1,Köln Hbf,,
1317380,19:31:00,19:33:00,548761,2,Köln Hbf,,
1317380,20:07:00,20:09:00,243570,3,Köln Hbf,,
1317380,20:35:00,20:37:00,596180,4,Köln Hbf,,
1317380,21:04:00,21:07:00,146716,5,Köln Hbf,,
1317380,21:38:00,21:41:00,153365,6,Köln Hbf,,
1317380,23:26:00,23:26:00,449938,7,Köln Hbf,,
1332166,09:34:00,09:34:00,625267,0,München Hbf,,
1332166,09:45:00,09:45:00,208511,1,München Hbf,1,1
1332166,09:51:00,09:53:00,216007,2,München Hbf,1,1
1332166,10:24:00,10:25:00,163028,3,München Hbf,,
1332166,10:32:00,10:33:00,499439,4,München Hbf,,
1332166,10:45:00,10:47:00,481211,5,München Hbf,,
1332166,11:11:00,11:18:00,449938,6,München Hbf,,
1332166,11:31:00,11:32:00,578605,7,München Hbf,,
1332166,12:13:00,12:21:00,153365,8,München Hbf,,
1332166,12:53:00,12:56:00,146716,9,München Hbf,,
1332166,13:33:00,13:43:00,106423,10,München Hbf,,
1332166,14:26:00,14:28:00,548761,11,München Hbf,,
1332166,15:11:00,15:13:00,160021,12,München Hbf,,
1332166,15:40:00,15:40:00,113452,13,München Hbf,,
135981,05:25:00,05:25:00,449938,0,München Hbf,,
135981,06:19:00,06:21:00,153365,1,München Hbf,,
135981,06:53:00,06:56:00,146716,2,München Hbf,,
135981,07:22:00,07:24:00,596180,3,München Hbf,,
135981,07:48:00,07:52:00,243570,4,München Hbf,,
135981,08:26:00,08:28:00,548761,5,München Hbf,,
135981,09:09:00,09:11:00,160021,6,München Hbf,,
135981,09:40:00,09:40:00,113452,7,München Hbf,,
1361241,16:09:00,16:09:00,133638,0,München Hbf,,
1361241,16:23:00,16:24:00,477557,1,München Hbf,,
1361241,16:35:00,16:36:00,204717,2,München Hbf,,
1361241,16:48:00,16:50:00,499439,3,München Hbf,,
1361241,17:03:00,17:07:00,481211,4,München Hbf,,
1361241,17:29:00,17:32:00,6204,5,München Hbf,,
1361241,18:19:00,18:22:00,153365,6,München Hbf,,
1361241,18:53:00,18:56:00,146716,7,München Hbf,,
1361241,19:33:00,19:43:00,106423,8,München Hbf,,
1361241,20:26:00,20:28:00,548761,9,München Hbf,,
1361241,21:11:00,21:13:00,160021,10,München Hbf,,
1361241,21:40:00,21:40:00,113452,11,München Hbf,,
1362844,16:20:00,16:20:00,113452,0,Dortmund Hbf,,
1362844,16:46:00,16:48:00,160021,1,Dortmund Hbf,,
1362844,17:31:00,17:33:00,548761,2,Dortmund Hbf,,
1362844,18:07:00,18:09:00,243570,3,Dortmund Hbf,,
1362844,18:35:00,18:37:00,596180,4,Dortmund Hbf,,
1362844,19:04:00,19:07:00,146716,5,Dortmund Hbf,,
1362844,19:38:00,19:41:00,153365,6,Dortmund Hbf,,
1362844,20:29:00,20:32:00,6204,7,Dortmund Hbf,,
1362844,20:53:00,20:55:00,481211,8,Dortmund Hbf,,
1362844,21:09:00,21:10:00,499439,9,Dortmund Hbf,,
1362844,21:22:00,21:23:00,204717,10,Dortmund Hbf,,
1362844,21:48:00,21:48:00,133638,11,Dortmund Hbf,,
1402246,18:09:00,18:09:00,133638,0,München Hbf,,
1402246,18:23:00,18:24:00,477557,1,München Hbf,,
1402246,18:35:00,18:36:00,204717,2,München Hbf,,
1402246,18:48:00,18:50:00,499439,3,München Hbf,,
1402246,19:02:00,19:07:00,481211,4,München Hbf,,
1402246,19:27:00,19:30:00,6204,5,München Hbf,,
1402246,20:19:00,20:22:00,153365,6,München Hbf,,
1402246,20:53:00,20:56:00,146716,7,München Hbf,,
1402246,21:33:00,21:43:00,106423,8,München Hbf,,
1402246,22:35:00,22:37:00,548761,9,München Hbf,,
1402246,23:20:00,23:22:00,160021,10,München Hbf,,
1402246,23:50:00,23:50:00,113452,11,München Hbf,,
1414753,18:09:00,18:09:00,133638,0,München Hbf,,
1414753,18:35:00,18:36:00,204717,1,München Hbf,,
1414753,18:48:00,18:50:00,499439,2,München Hbf,,
1414753,19:02:00,19:07:00,481211,3,München Hbf,,
1414753,19:27:00,19:30:00,6204,4,München Hbf,,
1414753,20:19:00,20:22:00,153365,5,München Hbf,,
1414753,20:53:00,20:56:00,146716,6,München Hbf,,
1414753,21:22:00,21:24:00,596180,7,München Hbf,,
1414753,21:48:00,21:52:00,243570,8,München Hbf,,
1414753,22:35:00,22:37:00,548761,9,München Hbf,,
1414753,23:20:00,23:22:00,160021,10,München Hbf,,
1414753,23:50:00,23:50:00,113452,11,München Hbf,,
1452001,18:09:00,18:09:00,133638,0,München Hbf,,
1452001,18:35:00,18:36:00,204717,1,München Hbf,,
1452001,18:48:00,18:50:00,499439,2,München Hbf,,
1452001,19:02:00,19:07:00,481211,3,München Hbf,,
1452001,19:27:00,19:30:00,6204,4,München Hbf,,
1452001,20:19:00,20:22:00,153365,5,München Hbf,,
1452001,20:53:00,20:56:00,146716,6,München Hbf,,
1452001,21:22:00,21:24:00,596180,7,München Hbf,,
1452001,21:48:00,21:52:00,243570,8,München Hbf,,
1452001,22:26:00,22:28:00,548761,9,München Hbf,,
1452001,23:11:00,23:13:00,160021,10,München Hbf,,
1452001,23:41:00,23:41:00,113452,11,München Hbf,,
1470532,06:20:00,06:20:00,113452,0,Dortmund Hbf,,
1470532,06:46:00,06:48:00,160021,1,Dortmund Hbf,,
1470532,07:31:00,07:33:00,548761,2,Dortmund Hbf,,
1470532,08:19:00,08:26:00,106423,3,Dortmund Hbf,,
1470532,09:04:00,09:07:00,146716,4,Dortmund Hbf,,
1470532,09:38:00,09:41:00,153365,5,Dortmund Hbf,,
1470532,10:29:00,10:32:00,6204,6,Dortmund Hbf,,
1470532,10:53:00,10:56:00,481211,7,Dortmund Hbf,,
1470532,11:09:00,11:10:00,499439,8,Dortmund Hbf,,
1470532,11:22:00,11:23:00,204717,9,Dortmund Hbf,,
1470532,11:33:00,11:34:00,477557,10,Dortmund Hbf,,
1470532,11:47:00,11:47:00,133638,11,Dortmund Hbf,,
1517034,16:09:00,16:09:00,133638,0,München Hbf,,
1517034,16:35:00,16:36:00,204717,1,München Hbf,,
1517034,16:48:00,16:50:00,499439,2,München Hbf,,
1517034,17:03:00,17:07:00,481211,3,München Hbf,,
1517034,17:29:00,17:32:00,6204,4,München Hbf,,
1517034,18:19:00,18:22:00,153365,5,München Hbf,,
1517034,18:53:00,18:56:00,146716,6,München Hbf,,
1517034,19:22:00,19:24:00,596180,7,München Hbf,,
1517034,19:48:00,19:52:00,243570,8,München Hbf,,
1517034,20:26:00,20:28:00,548761,9,München Hbf,,
1517034,21:11:00,21:13:00,160021,10,München Hbf,,
1517034,21:40:00,21:40:00,113452,11,München Hbf,,
1520464,14:09:00,14:09:00,133638,0,München Hbf,,
1520464,14:35:00,14:36:00,204717,1,München Hbf,,
1520464,14:48:00,14:50:00,499439,2,München Hbf,,
1520464,15:02:00,15:07:00,481211,3,München Hbf,,
1520464,15:27:00,15:30:00,6204,4,München Hbf,,
1520464,16:19:00,16:22:00,153365,5,München Hbf,,
1520464,16:53:00,16:56:00,146716,6,München Hbf,,
1520464,17:33:00,17:43:00,106423,7,München Hbf,,
1520464,18:26:00,18:28:00,548761,8,München Hbf,,
1520464,19:11:00,19:13:00,160021,9,München Hbf,,
1520464,19:41:00,19:41:00,113452,10,München Hbf,,
1523432,18:19:00,18:19:00,113452,0,Köln Hbf,,
1523432,18:46:00,18:48:00,160021,1,Köln Hbf,,
1523432,19:31:00,19:33:00,548761,2,Köln Hbf,,
1523432,20:19:00,20:26:00,106423,3,Köln Hbf,,
1523432,21:04:00,21:07:00,146716,4,Köln Hbf,,
1523432,21:38:00,21:41:00,153365,5,Köln Hbf,,
1523432,23:26:00,23:26:00,449938,6,Köln Hbf,,
154922,18:19:00,18:19:00,113452,0,Köln Hbf,,
154922,18:46:00,18:48:00,160021,1,Köln Hbf,,
154922,19:31:00,19:33:00,548761,2,Köln Hbf,,
154922,20:07:00,20:09:00,243570,3,Köln Hbf,,
154922,20:35:00,20:37:00,596180,4,Köln Hbf,,
154922,21:04:00,21:07:00,146716,5,Köln Hbf,,
154922,21:38:00,21:41:00,153365,6,Köln Hbf,,
154922,22:30:00,22:30:00,449938,7,Köln Hbf,,
1564141,08:19:00,08:19:00,113452,0,Dortmund Hbf,,
1564141,08:46:00,08:48:00,160021,1,Dortmund Hbf,,
1564141,09:31:00,09:33:00,548761,2,Dortmund Hbf,,
1564141,10:07:00,10:09:00,243570,3,Dortmund Hbf,,
1564141,10:35:00,10:37:00,596180,4,Dortmund Hbf,,
1564141,11:04:00,11:07:00,146716,5,Dortmund Hbf,,
1564141,11:38:00,11:41:00,153365,6,Dortmund Hbf,,
1564141,12:29:00,12:32:00,6204,7,Dortmund Hbf,,
1564141,12:53:00,12:56:00,481211,8,Dortmund Hbf,,
1564141,13:09:00,13:10:00,499439,9,Dortmund Hbf,,
1564141,13:22:00,13:23:00,204717,10,Dortmund Hbf,,
1564141,13:48:00,13:48:00,133638,11,Dortmund Hbf,,
1583034,12:20:00,12:20:00,113452,0,Dortmund Hbf,,
1583034,12:46:00,12:48:00,160021,1,Dortmund Hbf,,
1583034,13:31:00,13:33:00,548761,2,Dortmund Hbf,,
1583034,14:07:00,14:09:00,243570,3,Dortmund Hbf,,
1583034,14:35:00,14:37:00,596180,4,Dortmund Hbf,,
1583034,15:04:00,15:07:00,146716,5,Dortmund Hbf,,
1583034,15:38:00,15:41:00,153365,6,Dortmund Hbf,,
1583034,16:29:00,16:32:00,6204,7,Dortmund Hbf,,
1583034,16:53:00,16:55:00,481211,8,Dortmund Hbf,,
1583034,17:09:00,17:10:00,499439,9,Dortmund Hbf,,
1583034,17:22:00,17:23:00,204717,10,Dortmund Hbf,,
1583034,17:47:00,17:47:00,133638,11,Dortmund Hbf,,
1591353,14:09:00,14:09:00,133638,0,München Hbf,,
1591353,14:35:00,14:36:00,204717,1,München Hbf,,
1591353,14:48:00,14:50:00,499439,2,München Hbf,,
1591353,15:02:00,15:07:00,481211,3,München Hbf,,
1591353,15:27:00,15:30:00,6204,4,München Hbf,,
1591353,16:19:00,16:22:00,153365,5,München Hbf,,
1591353,16:53:00,16:56:00,146716,6,München Hbf,,
1591353,17:22:00,17:24:00,596180,7,München Hbf,,
1591353,17:48:00,17:52:00,243570,8,München Hbf,,
1591353,18:26:00,18:28:00,548761,9,München Hbf,,
1591353,19:11:00,19:13:00,160021,10,München Hbf,,
1591353,19:41:00,19:41:00,113452,11,München Hbf,,
1613052,18:19:00,18:19:00,113452,0,Köln Hbf,,
1613052,18:46:00,18:48:00,160021,1,Köln Hbf,,
1613052,19:31:00,19:33:00,548761,2,Köln Hbf,,
1613052,20:19:00,20:26:00,106423,3,Köln Hbf,,
1613052,21:04:00,21:07:00,146716,4,Köln Hbf,,
1613052,21:38:00,21:41:00,153365,5,Köln Hbf,,
1613052,22:30:00,22:30:00,449938,6,Köln Hbf,,
1626700,16:20:00,16:20:00,113452,0,Dortmund Hbf,,
1626700,16:46:00,16:48:00,160021,1,Dortmund Hbf,,
1626700,17:31:00,17:33:00,548761,2,Dortmund Hbf,,
1626700,18:19:00,18:26:00,106423,3,Dortmund Hbf,,
1626700,19:04:00,19:07:00,146716,4,Dortmund Hbf,,
1626700,19:38:00,19:41:00,153365,5,Dortmund Hbf,,
1626700,20:29:00,20:32:00,6204,6,Dortmund Hbf,,
1626700,20:53:00,20:55:00,481211,7,Dortmund Hbf,,
1626700,21:09:00,21:10:00,499439,8,Dortmund Hbf,,
1626700,21:22:00,21:23:00,204717,9,Dortmund Hbf,,
1626700,21:48:00,21:48:00,133638,10,Dortmund Hbf,,
210710,09:34:00,09:34:00,625267,0,München Hbf,,
210710,09:45:00,09:45:00,208511,1,München Hbf,1,1
210710,09:51:00,09:53:00,216007,2,München Hbf,1,1
210710,10:24:00,10:25:00,163028,3,München Hbf,,
210710,10:32:00,10:33:00,499439,4,München Hbf,,
210710,10:45:00,10:47:00,481211,5,München Hbf,,
210710,11:11:00,11:18:00,449938,6,München Hbf,,
210710,11:31:00,11:32:00,578605,7,München Hbf,,
210710,12:13:00,12:21:00,153365,8,München Hbf,,
210710,12:53:00,12:56:00,146716,9,München Hbf,,
210710,13:33:00,13:43:00,106423,10,München Hbf,,
210710,14:26:00,14:28:00,548761,11,München Hbf,,
210710,15:11:00,15:13:00,160021,12,München Hbf,,
210710,15:40:00,15:40:00,113452,13,München Hbf,,
218136,18:09:00,18:09:00,133638,0,München Hbf,,
218136,18:35:00,18:36:00,204717,1,München Hbf,,
218136,18:48:00,18:50:00,499439,2,München Hbf,,
218136,19:02:00,19:07:00,481211,3,München Hbf,,
218136,19:27:00,19:30:00,6204,4,München Hbf,,
218136,20:19:00,20:22:00,153365,5,München Hbf,,
218136,20:53:00,20:56:00,146716,6,München Hbf,,
218136,21:33:00,21:43:00,106423,7,München Hbf,,
218136,22:35:00,22:37:00,548761,8,München Hbf,,
218136,23:20:00,23:22:00,160021,9,München Hbf,,
218136,23:50:00,23:50:00,113452,10,München Hbf,,
222306,08:10:00,08:10:00,133638,0,München Hbf,,
222306,08:35:00,08:36:00,204717,1,München Hbf,,
222306,08:48:00,08:49:00,499439,2,München Hbf,,
222306,09:03:00,09:06:00,481211,3,München Hbf,,
222306,09:27:00,09:31:00,6204,4,München Hbf,,
222306,10:19:00,10:22:00,153365,5,München Hbf,,
222306,10:53:00,10:56:00,146716,6,München Hbf,,
222306,11:22:00,11:24:00,596180,7,München Hbf,,
222306,11:48:00,11:52:00,243570,8,München Hbf,,
222306,12:26:00,12:28:00,548761,9,München Hbf,,
222306,13:10:00,13:12:00,160021,10,München Hbf,,
222306,13:40:00,13:40:00,113452,11,München Hbf,,
230883,16:09:00,16:09:00,133638,0,München Hbf,,
230883,16:35:00,16:36:00,204717,1,München Hbf,,
230883,16:48:00,16:50:00,499439,2,München Hbf,,
230883,17:03:00,17:07:00,481211,3,München Hbf,,
230883,17:29:00,17:32:00,6204,4,München Hbf,,
230883,18:19:00,18:22:00,153365,5,München Hbf,,
230883,18:53:00,18:56:00,146716,6,München Hbf,,
230883,19:33:00,19:43:00,106423,7,München Hbf,,
230883,20:26:00,20:28:00,548761,8,München Hbf,,
230883,21:11:00,21:13:00,160021,9,München Hbf,,
230883,21:40:00,21:40:00,113452,10,München Hbf,,
256883,09:34:00,09:34:00,625267,0,München Hbf,,
256883,09:45:00,09:45:00,208511,1,München Hbf,1,1
256883,09:51:00,09:53:00,216007,2,München Hbf,1,1
256883,10:24:00,10:25:00,163028,3,München Hbf,,
256883,10:32:00,10:33:00,499439,4,München Hbf,,
256883,10:45:00,10:47:00,481211,5,München Hbf,,
256883,11:11:00,11:18:00,449938,6,München Hbf,,
256883,11:31:00,11:32:00,578605,7,München Hbf,,
256883,12:13:00,12:21:00,153365,8,München Hbf,,
256883,12:53:00,12:56:00,146716,9,München Hbf,,
256883,13:22:00,13:24:00,596180,10,München Hbf,,
256883,13:48:00,13:52:00,243570,11,München Hbf,,
256883,14:26:00,14:28:00,548761,12,München Hbf,,
256883,15:11:00,15:13:00,160021,13,München Hbf,,
256883,15:40:00,15:40:00,113452,14,München Hbf,,
277475,12:11:00,12:11:00,133638,0,München Hbf,,
277475,12:35:00,12:36:00,204717,1,München Hbf,,
277475,12:48:00,12:49:00,499439,2,München Hbf,,
277475,13:03:00,13:06:00,481211,3,München Hbf,,
277475,13:27:00,13:30:00,6204,4,München Hbf,,
277475,14:19:00,14:22:00,153365,5,München Hbf,,
277475,14:53:00,14:56:00,146716,6,München Hbf,,
277475,15:33:00,15:43:00,106423,7,München Hbf,,
277475,16:26:00,16:28:00,548761,8,München Hbf,,
277475,17:11:00,17:13:00,160021,9,München Hbf,,
277475,17:40:00,17:40:00,113452,10,München Hbf,,
306061,08:10:00,08:10:00,133638,0,München Hbf,,
306061,08:35:00,08:36:00,204717,1,München Hbf,,
306061,08:48:00,08:49:00,499439,2,München Hbf,,
306061,09:03:00,09:06:00,481211,3,München Hbf,,
306061,09:27:00,09:31:00,6204,4,München Hbf,,
306061,10:19:00,10:22:00,153365,5,München Hbf,,
306061,10:53:00,10:56:00,146716,6,München Hbf,,
306061,11:33:00,11:43:00,106423,7,München Hbf,,
306061,12:26:00,12:28:00,548761,8,München Hbf,,
306061,13:10:00,13:12:00,160021,9,München Hbf,,
306061,13:40:00,13:40:00,113452,10,München Hbf,,
32615,04:20:00,04:20:00,113452,0,Dortmund Hbf,,
32615,04:46:00,04:48:00,160021,1,Dortmund Hbf,,
32615,05:31:00,05:33:00,548761,2,Dortmund Hbf,,
32615,06:07:00,06:09:00,243570,3,Dortmund Hbf,,
